Col: [a] valida: true , puntos: 92 , [0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0] , [0,27,26,29,12,18,28,9,33,11,21,5,4,16,34,19,13,10,17,15,35,24,30,6,25,23,32,31,1,8,2,20,3,7,14,37,22,36]

Col: valida: true , puntos: 92 , [0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0] , [0,27,26,29,12,18,28,9,33,11,21,5,4,16,34,19,13,10,17,15,35,24,30,6,25,23,32,31,1,8,2,20,3,7,14,37,22,36]
+----------+
|1111111111|
|1111111111|
|1111111111|
|1111111111|
|1111111111|
|1111111111|
|1111111111|
|1111111110|
|1111111110|
|1111000000|
+----------+
